level_0,Symbols,Close,High,Low,Open,Volume
2021-11-09,AMZN,3576.23,3593.77,3501.425,3515.25,4294922.0
2021-11-09,GOOGL,2978.37,2996.69,2944.895,2984.66,976487.0
2021-11-09,FB,335.37,341.3075,334.47,340.0,17556721.0
2021-11-09,PFE,47.3,48.38,47.15,48.33,29920438.0
2021-11-09,BNTX,226.37,253.0,223.57,251.66,5541735.0
2021-11-10,AMZN,3482.05,3605.45,3463.09,3563.87,4027422.0
2021-11-10,GOOGL,2917.87,2961.4,2890.75,2950.0,1498490.0
2021-11-10,FB,327.64,333.19,325.51,332.49,21872605.0
2021-11-10,PFE,49.02,49.21,47.4,47.4,42696195.0
2021-11-10,BNTX,235.4,244.74,229.65,233.16,4009604.0
2021-11-11,AMZN,3472.5,3543.24,3467.47,3513.0,2264406.0
2021-11-11,GOOGL,2915.33,2950.71,2912.01,2929.79,825874.0
2021-11-11,FB,327.74,332.459,327.0,329.82,12376563.0
2021-11-11,PFE,50.18,50.5,48.733,49.23,42370388.0
2021-11-11,BNTX,235.89,239.79,228.4735,237.44,2266156.0
2021-11-12,AMZN,3525.15,3540.7262,3447.05,3485.0,2689434.0
2021-11-12,GOOGL,2973.56,2977.0,2908.2201,2932.31,1118000.0
2021-11-12,FB,340.89,341.86,329.78,330.18,25414311.0
2021-11-12,PFE,49.73,50.49,49.57,50.42,27780566.0
2021-11-12,BNTX,238.14,238.33,231.73,233.5,1734745.0
2021-11-15,AMZN,3545.68,3593.88,3525.81,3537.0,2929719.0
2021-11-15,GOOGL,2969.04,2990.99,2951.5,2978.01,1175352.0
2021-11-15,FB,347.56,353.65,343.2,344.34,25076603.0
2021-11-15,PFE,49.65,50.1,49.37,49.73,27763215.0
2021-11-15,BNTX,250.48,250.88,239.47,241.72,2629244.0
2021-11-16,AMZN,3540.7,3576.5,3525.1466,3539.0,2217071.0
2021-11-16,GOOGL,2957.52,2975.25,2946.25,2962.99,945200.0
2021-11-16,FB,342.96,346.65,340.87,343.83,18181106.0
2021-11-16,PFE,49.6,50.16,48.89,49.47,31297220.0
2021-11-16,BNTX,258.05,262.38,244.06,247.0404,3291658.0
2021-11-17,AMZN,3549.0,3587.245,3545.35,3564.72,2560270.0
2021-11-17,GOOGL,2960.94,2971.19,2944.8,2960.55,979975.0
2021-11-17,FB,340.77,347.3,340.1,344.24,13602812.0
2021-11-17,PFE,50.87,51.09,49.685,49.94,36889765.0
2021-11-17,BNTX,272.0,272.1485,259.6,263.64,2897272.0
2021-11-18,AMZN,3696.06,3704.2,3561.0,3566.35,5703538.0
2021-11-18,GOOGL,2996.77,3011.61,2957.69,2964.83,1781411.0
